ID,isHappy
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
